param_n_estimators,param_max_depth,param_min_samples_split,F1_Score_Test,F1_Score_Std,F1_Score_Train
100,10,2,0.5250912486206604,0.04006805172708983,1.0
200,10,2,0.47960157126823794,0.017058053058918023,1.0
300,10,2,0.47552623388536697,0.06160142488907012,1.0
100,10,5,0.5026613622588855,0.058047876012854764,1.0
200,10,5,0.4836756924992219,0.0406481862698896,1.0
300,10,5,0.5291608899452037,0.044983084096007986,1.0
100,10,10,0.5062850729517395,0.0515788089437251,1.0
200,10,10,0.5301401652278844,0.06664943074408212,1.0
300,10,10,0.5630196238039376,0.08443759664004816,1.0
100,20,2,0.5250912486206604,0.04006805172708983,1.0
200,20,2,0.496146127312278,0.015946169240526574,1.0
300,20,2,0.4584238373712058,0.04075491576552904,1.0
100,20,5,0.5046426598284183,0.08211299988056234,1.0
200,20,5,0.4690143734261381,0.03520475113772886,1.0
300,20,5,0.5153109055069839,0.035444239004776765,1.0
100,20,10,0.5062850729517395,0.0515788089437251,1.0
200,20,10,0.5301401652278844,0.06664943074408212,1.0
300,20,10,0.5630196238039376,0.08443759664004816,1.0
100,30,2,0.5250912486206604,0.04006805172708983,1.0
200,30,2,0.496146127312278,0.015946169240526574,1.0
300,30,2,0.4584238373712058,0.04075491576552904,1.0
100,30,5,0.5046426598284183,0.08211299988056234,1.0
200,30,5,0.4690143734261381,0.03520475113772886,1.0
300,30,5,0.5153109055069839,0.035444239004776765,1.0
100,30,10,0.5062850729517395,0.0515788089437251,1.0
200,30,10,0.5301401652278844,0.06664943074408212,1.0
300,30,10,0.5630196238039376,0.08443759664004816,1.0
