param_n_estimators,param_max_depth,param_min_samples_split,F1_Score_Test,F1_Score_Std,F1_Score_Train
100,10,2,0.6954838784680965,0.07657814423141901,0.9951451751442529
200,10,2,0.6954838784680965,0.07657814423141901,0.9902863429737246
300,10,2,0.6954838784680965,0.07657814423141901,0.9902863429737246
100,10,5,0.7108107737949917,0.07877333104374085,0.9902863429737246
200,10,5,0.6954838784680965,0.07657814423141901,0.9902863429737246
300,10,5,0.6954838784680965,0.07657814423141901,0.9902863429737246
100,10,10,0.6672941173361341,0.08418639577954808,0.9805768304925243
200,10,10,0.6789642325366859,0.09714409691577718,0.985499900743105
300,10,10,0.6789642325366859,0.09714409691577718,0.985499900743105
100,20,2,0.7181425923032809,0.052337299468118464,1.0
200,20,2,0.6954838784680965,0.07657814423141901,1.0
300,20,2,0.6954838784680965,0.07657814423141901,1.0
100,20,5,0.7027115092251389,0.06814939107355761,1.0
200,20,5,0.7027115092251389,0.06814939107355761,1.0
300,20,5,0.6954838784680965,0.07657814423141901,1.0
100,20,10,0.6954838784680965,0.07657814423141901,1.0
200,20,10,0.6954838784680965,0.07657814423141901,0.9902863429737246
300,20,10,0.6954838784680965,0.07657814423141901,0.9902863429737246
100,30,2,0.7181425923032809,0.052337299468118464,1.0
200,30,2,0.6954838784680965,0.07657814423141901,1.0
300,30,2,0.6954838784680965,0.07657814423141901,1.0
100,30,5,0.7027115092251389,0.06814939107355761,1.0
200,30,5,0.7027115092251389,0.06814939107355761,1.0
300,30,5,0.6954838784680965,0.07657814423141901,1.0
100,30,10,0.6954838784680965,0.07657814423141901,1.0
200,30,10,0.6954838784680965,0.07657814423141901,0.9902863429737246
300,30,10,0.6954838784680965,0.07657814423141901,0.9902863429737246
