Archivo,Predicción
021a52a7-0fdf-4b70-aae9-30fea38d8b2d_20230401T15_41_UTC.txt,Neutral
026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt,Neutral
0c1dacc2-0d21-474f-9f30-0b2bc3069d1a_20230401T16_11_UTC.txt,Neutral
139f333f-8a01-4e37-a64b-91a6170c4523_20230401T14_25_UTC.txt,Neutral
15407ae0-a923-46ee-adb2-f5410cefe223_20230401T15_29_UTC.txt,Negativo
16d944ae-54bb-461a-81bd-e1bedc5aa4c9_20230401T16_24_UTC.txt,Neutral
1e798210-746b-4b36-9a8f-e460af2cf9f9_20230401T16_35_UTC.txt,Neutral
208ac2af-40b7-4858-a9d2-0f853707e985_20230401T15_27_UTC.txt,Neutral
25c6705e-b182-45c5-bdc8-f3c815d5fe05_20230401T14_01_UTC.txt,Neutral
2cf97530-4798-41a5-b3df-8c975c328d49_20230401T14_10_UTC.txt,Neutral
2fef37bb-f438-4819-bb85-0d2f8cb52934_20230401T16_38_UTC.txt,Neutral
345d8040-eb37-45e6-a050-f5400158c74c_20230401T14_38_UTC.txt,Neutral
38028477-df8a-428d-84bf-9b9db5bf7114_20230401T16_42_UTC.txt,Neutral
3a6e48f1-725e-4676-85f6-153a5e7ff8d8_20230401T16_29_UTC.txt,Neutral
3d4d837b-8d47-42f3-9c16-09f641fe5b7c_20230401T15_56_UTC.txt,Neutral
4614a9e8-1fc4-48c9-92dd-0963e237e3da_20230401T15_45_UTC.txt,Neutral
537c6e4a-05b4-44cd-8664-798bc78bcfe6_20230401T14_55_UTC.txt,Neutral
54357403-9ec1-4340-8f7e-1f686441e918_20230401T13_56_UTC.txt,Neutral
5868843b-8fcb-4d67-bdd9-f510acba77e0_20230401T16_22_UTC.txt,Neutral
59c281a8-bc44-4807-9cd5-badae33507ee_20230401T14_27_UTC.txt,Neutral
5b686c92-3b3b-4511-9dd0-ce4dd4e97313_20230401T16_06_UTC.txt,Neutral
6341e565-756d-4d36-a3c0-b1b8002f3c34_20230401T15_16_UTC.txt,Neutral
635e4862-decc-4299-a0fa-4a16cc6c031e_20230401T14_46_UTC.txt,Neutral
6fddad58-12fe-447a-afcf-0ea1b69384fa_20230401T13_40_UTC.txt,Neutral
7071d053-4612-4ad6-a546-d8b06d519f19_20230401T14_29_UTC.txt,Neutral
78b2705d-5c2c-4f63-a30f-466b61e80dc3_20230401T14_50_UTC.txt,Neutral
7955c3c1-0559-4cc5-af77-d8372f84c30d_20230401T15_35_UTC.txt,Neutral
7ca5403c-0582-4b4f-ba05-4abed3603f4f_20230401T15_39_UTC.txt,Neutral
85783ad3-d6a6-4f32-9e97-fad6929351e6_20230401T14_41_UTC.txt,Neutral
8de21dcb-f085-4c02-ab84-0f3a31bcb975_20230401T15_20_UTC.txt,Neutral
97d7be85-0c18-450d-bead-cc8ab66b6589_20230401T15_02_UTC.txt,Neutral
9a4b8c11-1fca-486c-83d9-df02daf7092f_20230401T16_47_UTC.txt,Neutral
9fbc4011-3322-4602-9ec1-9b6af0060898_20230401T14_32_UTC.txt,Negativo
bbbe1178-e3c3-4589-81f6-856f9853a8be_20230401T15_02_UTC.txt,Negativo
c03add8d-e73d-4714-a4c6-ed1e19f569c5_20230401T14_17_UTC.txt,Neutral
c69e3cc5-d9de-448a-a966-e7820dfc0648_20230401T14_54_UTC.txt,Neutral
cc9d1ce4-fdb4-4330-b89b-4536f4f116a8_20230401T13_55_UTC.txt,Neutral
de4d233e-6161-4b1a-abcc-e65ca771d84d_20230401T13_38_UTC.txt,Neutral
e2b0299e-e174-44ff-b09a-70a045d46b01_20230401T16_38_UTC.txt,Neutral
edad47b0-b587-4725-9078-eea28e991b35_20230401T13_24_UTC.txt,Neutral
efe98a6a-5455-4e15-aeee-48eaab0cce45_20230401T15_07_UTC.txt,Negativo
f7f10ec8-adba-4ac0-86fe-19ac6dd3d24e_20230401T15_38_UTC.txt,Neutral
01c81113-4cf4-4892-a080-ebe8f26c767a_20230410T21_24_UTC.txt,Neutral
025d7914-af83-481c-928e-9d9135c9da81_20230410T20_06_UTC.txt,Neutral
0475a9f6-8cfd-46cc-9811-a2c0bd254cba_20230410T20_19_UTC.txt,Neutral
04cce189-8ff0-4de9-86ff-978ceed8b3c9_20230410T21_47_UTC.txt,Neutral
0d68e227-32fd-4e23-b613-139fb0931786_20230410T15_31_UTC.txt,Neutral
1fa73898-4ad1-417a-9447-4e54f2838011_20230410T15_53_UTC.txt,Neutral
26cec85e-84dc-48ed-a11d-b96e84033cae_20230410T13_55_UTC.txt,Neutral
35294179-632a-40ae-899b-8bf4d103e54e_20230410T14_04_UTC.txt,Neutral
3db3a6db-bac4-403a-8919-7db8d5370109_20230410T19_51_UTC.txt,Neutral
3fe9459f-7ea4-41a8-b7fe-099281c6933e_20230410T19_57_UTC.txt,Neutral
417afa74-f872-481d-a126-866e7f7c5e68_20230410T14_57_UTC.txt,Neutral
43ae5242-9b5d-4abb-bf63-d04a3bf44b85_20230410T21_25_UTC.txt,Neutral
4b0b8ebd-9749-44db-8d99-4bb66e3ac109_20230410T14_13_UTC.txt,Neutral
4b70ebbc-d673-4341-b988-bc340afdf463_20230410T21_08_UTC.txt,Neutral
4e014158-da2d-4143-9310-ef4dc1d90cd2_20230410T15_56_UTC.txt,Neutral
4fb1c693-e7ac-4af5-8e5e-be54d3f959ef_20230410T18_05_UTC.txt,Neutral
507d162a-9e91-468a-a0bb-5d464bcf8306_20230410T20_52_UTC.txt,Neutral
552decaf-5f19-4408-b28c-ca8fa30a8b4a_20230410T23_00_UTC.txt,Neutral
5a0baf31-3073-48af-8873-0a7c14ee748e_20230410T15_21_UTC.txt,Neutral
5bec9db8-77e2-46ef-b641-413bde26a88e_20230410T16_29_UTC.txt,Neutral
653112db-b1be-4926-9c3a-a45c5575522d_20230410T19_26_UTC.txt,Neutral
6984ce3d-53b0-45a0-8a86-b6da750f9679_20230410T15_46_UTC.txt,Neutral
7446bb26-0ffd-47da-ad9c-67c6e55e1e18_20230410T22_06_UTC.txt,Neutral
74c933f5-ec4f-425e-b7b5-16a9159c9aa1_20230410T16_45_UTC.txt,Neutral
83565bfe-3d89-4d56-aeab-17c3e5d4d287_20230410T19_05_UTC.txt,Neutral
8546519f-c98f-4d6d-9d4c-7bb2ef2ca057_20230410T19_35_UTC.txt,Neutral
8565e892-9ffb-437e-9096-e06a12af4d2a_20230410T15_22_UTC.txt,Neutral
866cc7d6-6f0e-4ec2-bcb5-8e00408d0526_20230410T20_37_UTC.txt,Neutral
87cee38a-8a48-4c62-890a-2b8a04881c3c_20230410T21_11_UTC.txt,Neutral
9015f350-f893-439c-9672-fe39bf92dd3c_20230410T15_06_UTC.txt,Neutral
90a28742-5d43-4699-9b35-2c86841da0f3_20230410T20_35_UTC.txt,Neutral
9d05069f-957e-4cac-b044-6d17d23b5302_20230410T22_43_UTC.txt,Neutral
a3aafac6-9173-467b-bad4-b3aa605d1d09_20230410T17_17_UTC.txt,Neutral
a4e0358a-e54f-48d8-92ab-9996190c590b_20230410T16_30_UTC.txt,Neutral
a9b8fe53-e277-4010-b4bf-201460b5bef6_20230410T15_14_UTC.txt,Neutral
aa29be68-0ad0-47ea-9af0-5d2e3292d6e2_20230410T14_18_UTC.txt,Neutral
b06a666a-a870-4c85-b9ad-85d28d469327_20230410T15_46_UTC.txt,Neutral
b0ff1db2-2b23-407f-95ec-b7bcfeb93e4d_20230410T21_03_UTC.txt,Neutral
bedc2a7f-c9e3-4112-93e8-acb3f966a2a7_20230410T20_11_UTC.txt,Neutral
bfef4005-062b-4e6c-8b94-8c79b028cc5b_20230410T19_53_UTC.txt,Neutral
c460ce04-06de-4452-9c8e-181b72b60aea_20230410T14_28_UTC.txt,Neutral
c77901b0-dc0e-44b3-9fba-cf6dfc4e8a64_20230410T14_19_UTC.txt,Neutral
c7ac6af1-8f0b-4463-b059-7d6d36774b2c_20230410T19_37_UTC.txt,Neutral
d7fa92da-8e27-4569-94d5-881474e770e1_20230410T23_48_UTC.txt,Neutral
dbe5300f-d957-4b76-9977-d0c9fbb24837_20230410T22_21_UTC.txt,Neutral
df3afc85-861d-4dea-9f6f-60c50ca2f336_20230410T13_52_UTC.txt,Neutral
e24a2db7-255e-4480-a02f-3ae1a5dcab3c_20230410T20_36_UTC.txt,Neutral
ec698549-12ce-4d93-9559-f26cbef6a4cd_20230410T16_36_UTC.txt,Neutral
ef27f14f-919e-46e3-aa21-efd9a2a37933_20230410T14_06_UTC.txt,Neutral
ef88ac27-ad7a-4816-9f49-c0165e6c9dc6_20230410T15_31_UTC.txt,Neutral
f9af26cb-4904-486a-8068-835c1171b7cc_20230410T14_49_UTC.txt,Neutral
facd0eac-6562-4ea0-bade-57735201a291_20230410T20_34_UTC.txt,Neutral
01e7ca7cd7f34a9893f94978401b44a5_20230411t20_49_utc.txt,Neutral
0bfe45d7cdf64e658365967bb0ed5d4f_20230411t16_25_utc.txt,Neutral
10d53beec5984c158fbcab952c29f840_20230411t22_04_utc.txt,Neutral
141dd6fc6ad145648eeb603c4f0b4430_20230411t22_23_utc.txt,Neutral
1744acda8b4b4e948c9f891a34c5171c_20230411t13_59_utc.txt,Neutral
180fad9aa3b44fdd96202951dcad860e_20230411t15_57_utc.txt,Neutral
1841240ff1ab4df696c76987b97d4068_20230411t16_35_utc.txt,Neutral
1cc50562b323469e9713471c3d7b3482_20230411t15_57_utc.txt,Neutral
2a66fed04e2041a59bcc3ac6d68949ea_20230411t15_37_utc.txt,Neutral
2e89b588c9c04e96a1b5a67f7a2b9aa8_20230411t19_13_utc.txt,Neutral
33b9ce2f992b43dbb9e64ddb24fc5538_20230411t15_02_utc.txt,Negativo
34093c6f878446629522fd815d240e6a_20230411t22_08_utc.txt,Neutral
349349d7b0a64b3c81b973a1bbc000ae_20230411t23_07_utc.txt,Neutral
37acf02575134cbf8c8444808b4d76bb_20230411t16_35_utc.txt,Neutral
3aa55085a0e04782864dbcdbbbf2d76b_20230411t20_15_utc.txt,Neutral
4cf5489d9c064df4a6305fd2435879bc_20230411t19_32_utc.txt,Neutral
