param_n_estimators,param_max_depth,param_min_samples_split,F1_Score_Test,F1_Score_Std,F1_Score_Train
100,10,2,0.69408414751552,0.03875294348372411,1.0
200,10,2,0.6956736647139122,0.02328377727247572,1.0
300,10,2,0.710547135469736,0.04067759970911997,1.0
100,10,5,0.6752374169040835,0.00994099477693894,1.0
200,10,5,0.67547383625815,0.041621870689889616,1.0
300,10,5,0.6741388241388241,0.06383755612081386,1.0
100,10,10,0.6740593313348731,0.04212662402384363,1.0
200,10,10,0.6473578890245556,0.11520520979758286,0.9920533560380305
300,10,10,0.6741388241388241,0.06383755612081386,0.9841067120760608
100,20,2,0.6880590570993048,0.020565802235078427,1.0
200,20,2,0.7093600509493182,0.0391583914793049,1.0
300,20,2,0.7093600509493182,0.0391583914793049,1.0
100,20,5,0.6752374169040835,0.00994099477693894,1.0
200,20,5,0.67547383625815,0.041621870689889616,1.0
300,20,5,0.6741388241388241,0.06383755612081386,1.0
100,20,10,0.6740593313348731,0.04212662402384363,1.0
200,20,10,0.6324844182687319,0.10139043698650328,0.9920533560380305
300,20,10,0.6741388241388241,0.06383755612081386,0.9841067120760608
100,30,2,0.6880590570993048,0.020565802235078427,1.0
200,30,2,0.7093600509493182,0.0391583914793049,1.0
300,30,2,0.7093600509493182,0.0391583914793049,1.0
100,30,5,0.6752374169040835,0.00994099477693894,1.0
200,30,5,0.67547383625815,0.041621870689889616,1.0
300,30,5,0.6741388241388241,0.06383755612081386,1.0
100,30,10,0.6740593313348731,0.04212662402384363,1.0
200,30,10,0.6324844182687319,0.10139043698650328,0.9920533560380305
300,30,10,0.6741388241388241,0.06383755612081386,0.9841067120760608
