param_n_estimators,param_max_depth,param_min_samples_split,F1_Score_Test,F1_Score_Std,F1_Score_Train
100,10,2,0.6910413940245873,0.05337583799597666,0.9951451751442529
200,10,2,0.6910413940245873,0.05337583799597666,0.9951451751442529
300,10,2,0.6910413940245873,0.05337583799597666,0.9951451751442529
100,10,5,0.6984835440111968,0.044552799819445585,0.9951451751442529
200,10,5,0.6838137632675446,0.06245124646378638,0.9902863429737246
300,10,5,0.6748391915752029,0.05253867638029575,0.9902863429737246
100,10,10,0.6546429018111645,0.07180236675519226,0.985499900743105
200,10,10,0.671162547742575,0.048850547840591806,0.985363272723144
300,10,10,0.671162547742575,0.048850547840591806,0.985363272723144
100,20,2,0.6910413940245873,0.05337583799597666,1.0
200,20,2,0.6748391915752029,0.05253867638029575,1.0
300,20,2,0.6748391915752029,0.05253867638029575,1.0
100,20,5,0.6984835440111968,0.044552799819445585,1.0
200,20,5,0.7148169684611577,0.0167962691976071,1.0
300,20,5,0.7027328665277014,0.018896049840276687,1.0
100,20,10,0.6984835440111968,0.044552799819445585,1.0
200,20,10,0.6838137632675446,0.06245124646378638,1.0
300,20,10,0.6838137632675446,0.06245124646378638,0.9951451751442529
100,30,2,0.6910413940245873,0.05337583799597666,1.0
200,30,2,0.6748391915752029,0.05253867638029575,1.0
300,30,2,0.6748391915752029,0.05253867638029575,1.0
100,30,5,0.6984835440111968,0.044552799819445585,1.0
200,30,5,0.7148169684611577,0.0167962691976071,1.0
300,30,5,0.7027328665277014,0.018896049840276687,1.0
100,30,10,0.6984835440111968,0.044552799819445585,1.0
200,30,10,0.6838137632675446,0.06245124646378638,1.0
300,30,10,0.6838137632675446,0.06245124646378638,0.9951451751442529
