Archivo,Texto,Prediccion
021a52a7-0fdf-4b70-aae9-30fea38d8b2d_20230401T15_41_UTC.txt,bien no la verdad pues no muchas gracias por conocer esta semana pero pues todavía estoy en décimo así que me falta todavía tiempito como para el proceso de inscripción en biología listo muchas gracias,Negativo
026ae835-07af-4cd1-a746-26de91ccfb84_20230401T14_48_UTC.txt,estás con el señor evin muy bien gracias déjame yo te confirmo porque la empresa como que lo iba a pagar entonces si algo yo te confirmo ya pasando semana santa sí cuándo empieza para el lunes o martes en horas de la tarde bueno ale muchas gracias bueno hasta luego,Neutral
047db9ca-b2af-4229-b2aa-d38f22eb3652_20230401T14_09_UTC.txt,buenos días por favor la joven sofía mucho gusto mi nombre es valentina cerna me estoy comunicando de la universidad javeriana cali hola para la joven ah perfecto entonces yo voy a escribir el whatsapp para que ella esté muy atenta y por ahí me indique cuándo la puedo llamar hasta luego,Neutral
0c1dacc2-0d21-474f-9f30-0b2bc3069d1a_20230401T16_11_UTC.txt,en qué le puedo ayudar hola buenos días habla joan camilo perdona la bulla lo que pasa es que a mí me interesaría ingresar a estudiar enfermería perdón este me gustaría empezar a estudiar enfermería yo ya tengo bachiller yo tengo dos títulos bueno un título estoy cursando el último estoy haciendo las prácticas pero pues yo quisiera como averiguar con tiempo me hago entender yo quiero estudiar enfermería pero pues mis recursos la verdad son como un poco limitados y a mí me llegaron a hablar sobre una beca algo que se llama como la generación e tengo como dos tres compañeros allá en donde estoy haciendo mis prácticas que me hablaron de eso que ellos estudiaron en diferentes universidades y pues yo estuve mirando como en las páginas y sale la opción de esa beca como inscribirse a eso yo la verdad no conozco muy bien sobre el proceso ellos pues no me explicaron bien un seis cero dos tres noventa y ocho once cuarenta y siete porque ya me hago como un tres veintiuno creo también que me salió en la plataforma pero no contestan nada o sea no nada una pregunta qué me podrían dar información sobre la carrera en sí sí la parte de la beca me puedes por favor dar información para saber más o menos también listo entonces en cuestión para lo de la beca de esas generaciones yo tengo que llamar esa al tres veintiuno cierto listo yo voy a voy a qué me puedes dar el número por favor o permíteme mejor cuál bueno lauracorrea todo en minúscula cierto pero ella hoy no atiende cierto que no en whatsapp aparece que está cerrado todos los días menos los viernes o sea los viernes de ocho a ocho y cinco am muchísimas gracias,Positivo
0f9f909b-b478-4bd1-ae7a-8656ebc39e50_20230401T14_08_UTC.txt,sí con ella hablas muy bien luis carlos gracias creo que feliz de escucharte no el proceso está súper bien lo que yo estoy esperando es que la o sea está pendiente de que la universidad me llame para esto para confirmarme que el cupo está completo y van a iniciar el curso porque yo llamé la semana pasada creo antes de que terminara el mes y me dijeron que no me podían dar seguridad de que el curso iniciaba sino hasta una semana antes entonces ahí quedé súper triste pues me encantaría que me llamaran cuando ya el pues es que no sé cuándo ustedes tienen la certeza de que el curso va a iniciar para realizar el pago literalmente estoy pendiente de eso porque sé que en otras ocasiones el curso ya se ha cancelado entonces no quisiera como atrapar ese capital en un curso que no va a ocurrir no pues me comunicaría con la universidad antes de que se cubra el pronto pago para ver si otras personas ya han realizado más interesados como yo listo perfecto sí súper de acuerdo pues yo creo que en noviembre me llamaste tú porque tu voz se me hace conocida y la vez anterior de este año que yo llamé no sé la verdad fui yo la que llamé fue una chica una mujer tú también gracias hasta luego,Positivo
139f333f-8a01-4e37-a64b-91a6170c4523_20230401T14_25_UTC.txt,buenos días para pedir una información lo que pasa es que estoy interesada en realizar un diplomado en auditorio en salud el costo es de dos millones trescientos no yo quería saber para financiarlo con la universidad qué proceso qué se puede hacer sí es mi número personal sí con la universidad qué requisitos solicitan para la financiación ah ok ajá ah ok ajá no sí yo sería solo con un codeudor que sería mi hijo y él pues trabaja o sea el treinta por ciento sería como setecientos mil pesos cierto shirley constanza rivera chagüesa sh ajá y termina en y constanza termina en z rivera chagüesa chagüesa chagüesa cincuenta y nueve siete cero seis seis dieciséis seis dieciséis constanza cero siete doce doce arroba gmail punto com laboral sería ahorita ajá la vega cauca sí listo le agradezco muchísimo por la información bueno muchas gracias hasta luego un feliz día hasta luego,Positivo
15407ae0-a923-46ee-adb2-f5410cefe223_20230401T15_29_UTC.txt,sí señora muy bien muchas gracias no no no pude asistir sí ya presenté no en este momento ninguna sí sí señora sí yo lo más probable es que lo haga en cuanto den los resultados del icsis no no señora perfecto listo igual,Negativo
16d944ae-54bb-461a-81bd-e1bedc5aa4c9_20230401T16_24_UTC.txt,sí señora cómo estás muy bien y usted ah sí porfa no mira es que yo estoy en décimo yo hice el presaber y pues apenas estoy viendo como las carreras que me están gustando y la que más me interesa es arquitectura sí señora sí yo fui a la pasantía el día de ayer me encantó pues hicimos una actividad muy buena que pues nos distribuyeron en los grupos con diferentes personas y pues hicimos una maqueta y pues la verdad me interesa mucho la arquitectura yo me gradué en el dos mil veinticuatro de acuerdo ah ok ok otra pregunta este año no se hace más traslantías ok gracias,Neutral
1d3fb2e9-3a05-451e-9eb6-c0d915472694_20230401T14_16_UTC.txt,de parte de quién buenos días javeriana de cali sí muy bien mmm pero la información me la pueden enviar al whatsapp por favor quedo atento a mi que me envíe la información muchas gracias igualmente hasta luego,Neutral
1e798210-746b-4b36-9a8f-e460af2cf9f9_20230401T16_35_UTC.txt,buenas tardes sí eh no porque ya hice un diploma en gestión tributaria no no muchas gracias bueno hasta luego,Negativo
